DATE,DO,CFS,DRP,TRP,PH,TDP,TP,CONDUCTANCE,TEMP,TSS,TURBIDITY
1993-06-15,8.2,6.7,,,8.1,0.042,0.062,500,17.5,5,
1993-07-01,8.3,5.1,,,7.9,0.07,0.087,572,18.2,4,
1993-07-29,9.1,7.6,,,7.8,0.049,0.053,535,16.2,1.5,
1993-08-24,9.7,5.1,,,7.7,0.031,0.04,551,16.1,4,
1993-09-30,10.3,6.8,,,7.9,0.022,0.037,590,12.6,1.5,
1993-11-02,11.2,7,,,7.9,0.033,0.042,573,7.8,3,
1994-01-19,10.1,,,,8.2,0.04,0.094,557,2.9,48,
1994-03-16,9.6,14.1,,,7.9,0.03,0.073,522.5,11.1,29,7.6
1994-03-29,10.3,21.6,,,7.95,0.025,0.054,531.5,5.9,47,13
1994-04-12,10.3,25.1,,,8,0.022,0.035,453.5,3.2,24,5.2
1994-04-27,10.7,43.1,,,7.85,0.025,0.068,402.5,6.3,66,5.2
1994-05-11,9.2,32.4,,,7.75,0.024,0.064,298,9.5,42,6.5
1994-05-25,8.7,3.8,,,7.75,0.053,0.077,468,14.4,8,1.7
1994-06-08,8.7,3.8,,,7.5,0.032,0.071,503,12.7,16,2.3
1994-07-13,7.7,3,,,7.5,0.02,0.03,506.5,13.5,4,1.4
1994-08-16,6.4,5.3,,,7.4,0.046,0.057,557.5,14.1,1.5,1.7
1994-09-20,6.4,5.2,,,7.65,0.027,0.036,442,12.9,1.5,1.5
1994-10-26,8.6,7.4,,,7.45,0.005,0.02,608.5,8.1,1.5,1.1
1995-01-19,11.4,27.2,,,8.15,0.034,0.064,621.5,1.6,15,3.3
1995-03-27,10,25.2,,,8.1,0.024,0.042,440,5.1,17,4
1995-04-17,12.7,25.5,,,8.35,0.015,0.029,406.5,5.9,12,4.1
1995-05-02,9.5,160.8,,,7.9,0.072,0.45,335.5,7.1,390,62
1995-05-12,9.7,79.9,,,8.15,0.037,0.095,267,8.9,58,5
1995-05-31,9.7,99.9,,,8.04,0.025,0.05,248.5,7.9,47,12
1995-06-12,9.2,78.7,,,7.87,0.01,0.05,254.5,12.7,48,8.6
1995-07-12,8.1,4,,,7.7,0.06,0.09,539,16.3,,
1995-08-15,9.3,2.2,,,8,0.07,0.08,676,18.4,4,
1995-09-19,8.8,3.6,,,8.1,0.06,0.08,584,14.1,4,
1995-11-01,10.3,12,,,8.19,0.05,0.06,541,9,9,
1996-01-09,10.6,10.9,,,7.77,0.08,0.07,516,3.7,26,
1996-03-13,10.4,30,,,7.5,0.05,0.1,487,2.4,56,
1996-04-03,9.8,35,,,7.87,0.03,0.13,429,3.4,128,
1996-04-22,9.9,28,,,8,0.02,0.04,446,6.3,28,
1996-05-06,9.4,80.6,,,8.1,0.02,0.06,3030,7.9,92.4,
1996-05-23,8.9,35,,,8,0.03,0.03,273,7.6,46.8,
1996-06-19,7.7,14,,,7.7,0.08,0.11,601,18.2,7.2,
1996-07-16,8.6,6.5,,,7.8,0.11,0.13,652,18.8,6.4,
1996-08-20,8.5,5,,,7.9,0.1,0.11,640,18.1,8.4,
1996-09-24,9.6,9.2,,,8.13,0.04,0.06,578,14.2,5.2,
1996-10-17,11.5,6.4,,,8.2,0.0234,0.0311,604,6.7,2,
1996-11-20,,15,,,8.4,0.0185,0.045,574,8.8,6.4,
1997-01-28,10.9,29.6,,,7.7,0.0255,,455,3.6,30.4,
1997-03-25,10.3,25,,,8.2,0.0671,0.1101,356,6,84,
1997-04-30,9.7,78,,,8.1,,,202,7.6,266.5,
1997-05-13,9.5,238.7,,,8.3,,0.1314,150,6.5,183.3,
1997-05-27,7.6,85,,,8.015,,0.1651,215,11.4,137.6,
1997-06-26,8.1,6.2,,,7.9,,,550,16.8,9.2,
1997-07-28,7.1,13,,,7.9,,,676,15.5,12,
1997-08-26,9.5,9,,,8.08,,,626,19.1,8.8,
1997-09-30,9.9,9.1,,,7.9,,,514,11.8,5.6,
1997-10-29,10.7,11.3,,,8.195,,,584,9,5.6,
1997-11-17,11.6,12,,,8.2,,0.0526,558,4.2,14.4,
1998-01-21,11.2,15,,,8.025,0.033,0.035,578,2,18.8,
1998-02-26,14.9,14.4,,,8,0.027,0.074,625,4.8,40.8,
1998-03-19,10.4,16.2,,,8,0.019,0.054,566,6.3,56,
1998-04-14,10.7,37.1,,,8.1,0.018,0.119,408,4.6,29.2,
1998-04-28,9.6,79.1,,,7.9,0.03,0.082,261,8.3,96.9,
1998-05-14,10,79.5,,,7.8,0.021,0.036,241,6.5,79.6,
1998-05-28,10.1,69.9,,,7.8,0.01,0.035,221,10.8,52.8,
1998-06-08,10.4,43.9,,,8.2,0.02,0.032,320,11,34.4,
1998-06-24,9.2,28.9,,,8.1,0.024,0.035,364,15.3,18.8,
1998-07-22,8.2,6,,,7.9,0.05,0.059,592,16.5,2,
1998-08-19,9.4,12,,,8,0.104,0.149,657,18,6.8,
1998-09-09,8.1,12,,,8,0.072,0.082,657,14.3,8,
1998-10-14,10.9,15,,,8.305,,,589,9.3,5.2,
1998-11-19,11,17,,,8.1,0.031,0.01,562,5.1,11.6,
1999-01-12,10.8,12,,,8,0.028,0.091,557,4.7,50,
1999-03-09,11.5,20,,,8.1,0.026,0.05,543,5.7,26.8,
1999-04-07,11.1,14,,,7.9,0.043,0.044,497,7.6,19.6,
1999-04-21,10.6,28,,,8.2,0.045,0.12,342,8.4,136.8,
1999-05-04,10.1,74.7,,,8.5,0.046,0.076,282,6.5,102.4,
1999-05-25,8.7,68.3,,,8,0.027,0.07,201,12,132.8,
1999-06-08,9.7,30.1,,,8.3,0.01,0.026,287,13.1,23.2,
1999-06-29,7.9,6.5,,,7.9,0.034,0.043,566,14.9,4.4,
1999-07-28,9.5,8.6,,,8.375,0.021,0.04,504,16.6,5.6,2.39
1999-08-19,9,6.3,,,8.05,0.023,0.038,515,16.9,2,1.23
1999-09-16,9.8,6.8,,,8.17,0.037,0.034,533,14.8,2,1.21
1999-10-21,10.2,10.6,,,8.04,0.022,0.033,523.5,6.2,2,1.65
1999-11-29,9.9,16.3,,,7.895,0.027,0.024,531.5,6.6,4.4,2.78
2000-01-26,10.9,12.3,,,8.2,0.023,0.03,416.5,3.9,14,5.87
2000-02-23,11.3,19.8,,,7.795,0.021,0.01,507,6.1,12,5.82
2000-03-30,10.1,20.7,,,7.975,0.026,0.027,469.5,7.5,18.8,7.49
2000-04-12,11.7,20.2,,,8.315,0.021,0.041,377.5,7.2,101,17.4
2000-04-27,9.7,24,,,8.15,0.029,0.168,343.5,9.3,58,18.3
2000-05-10,7.7,18.6,,,8.245,0.048,0.123,369.5,15.7,26.4,7.13
2000-06-07,9.9,8.4,,,8.475,0.029,0.023,389,7.5,6,1.92
2000-07-11,10.4,5,,,8.39,0.036,0.046,488,17.9,0,
2000-08-09,8.73,4,,,8,0.067,0.056,504,17.4,0,
2000-09-21,9.37,8,,,7.795,0.021,,536,13.62,6.7,
2000-10-17,8.71,5,,,8.105,,,556,10.08,12.4,
2001-01-23,9.07,18,,,8.385,0.024,0.036,508,4.74,10.8,
2001-03-20,8.1,20,,,8.195,0.03,0.071,527,10.97,28,
2001-04-11,9.28,22,,,8.12,0.025,0.05,499,7.43,17.3,
2001-05-17,7.82,22,,,8.12,0.048,0.08,379,16.02,34.7,
2001-06-21,9.75,8,,,8.26,0.033,0.037,531,17.15,2,
2001-07-18,9.95,5,,,8.3,0.028,0.034,526,17.13,2,
2001-08-22,9.61,8,,,8.045,0.033,0.037,512,16.56,4.4,
2001-09-20,9.2,5,,,8.07,0.031,0.038,560,15.37,6.8,
2001-10-16,8.99,7.5,,,8.085,,0.051,570,11.45,12,
2001-11-20,9.88,6.5,,,8.4,0.022,0.033,593,7.51,18.4,
2002-01-24,11.75,10,,,8.33,0.01,0.022,571,1.65,9.6,
2002-03-27,10.51,12,,,8.34,0.01,0.035,491,8.68,16.4,
2002-04-10,,,,,8.2,0.01,0.034,,,16,
2002-04-30,9.15,12,,,8.415,0.028,0.032,522,14.53,2,
2002-05-09,,,,,8.3,0.028,0.053,,,17.6,
2002-05-29,9.46,8.5,,,8.35,0.01,0.035,512,17.66,2,
2002-06-12,10.3,5,,,8.25,0.036,0.03,521,16.1,2,
2002-06-25,9.43,5,,,8.33,0.036,0.039,495,17.38,2,
2002-07-30,8.67,5,,,8.125,0.023,0.032,496,17.01,4.8,
2002-08-20,7.97,3,,,8.01,0.01,0.038,488,18,2,
2002-09-18,8.54,6,,,8.19,0.057,0.065,562,14.27,2,
2002-10-22,8.82,8,,,8.255,0.051,0.04,503,10.89,2,
2002-11-21,9.82,8,,,7.91,0.01,0.0458,548,6.32,4,
2002-12-18,11.46,10,,,8.525,0.01,0.056,551,2.9,2,
2003-02-12,11.21,12,,,8.33,0.01,2.37,524,4.41,2,
2003-03-18,9.76,7.2,,,8.525,0.024,0.01,533,6.22,2,
2003-04-21,9.33,10,,,8.5,0.01,0.031,542,11.22,2,
2003-05-13,9.32,9,,,8.44,0.01,0.048,545,17.97,2,
2003-06-25,9.25,10,,,8.345,0.01,0.056,566,17.23,2,
2003-08-12,8.47,3,,,8.08,0.02,0.026,509,17.16,2,
2003-09-17,8.11,3,,,8.265,0.01,0.026,555,12.04,2,
2003-10-22,8.76,3,,,8.325,0.025,0.01,630,12.76,9.3,
2004-03-04,10.95,5,,,8.165,0.023,0.038,578,6.18,26,
2004-04-27,8.48,12,,,8.03,0.045,0.069,488,15.59,50.8,
2004-05-25,8.16,8,,,8.195,0.04,0.06,575,13.11,16,
2004-06-23,9.5,3,,,8.355,0.027,0.041,536,18.85,8.4,
2004-07-27,9.21,3,,,8.165,0.03,0.031,544.5,17.96,4,4.58
2004-08-24,9.39,7,,,8.19,0.021,0.027,547.5,14.75,6,2.46
2004-09-22,9.7,4,,,8.24,0.01,0.026,525,13.22,2,2.3
2004-10-19,10.02,4,,,8.19,0.047,0.079,679,8.78,27,18.1
2004-11-16,10.48,6,,,8.445,0.01,0.027,546,9.64,16,4.9
2005-01-19,12.22,15,,,8.125,0.01,0.03,549,0.55,10,4.63
2005-03-29,9.82,30,,,8.365,0.021,0.078,449.5,10.16,47.6,19.4
2005-05-11,9.59,50,,,8.285,0.033,0.01,239.5,7.8,64.4,31.2
2005-06-15,8.28,25,,,8.515,0.022,0.032,285.5,17.15,2,6.66
2005-07-12,8.23,8,,,8.365,0.042,0.063,559,23.21,8.4,
2005-08-23,8.45,8,,,8.435,0.036,0.1,564,20.42,43.2,
2005-09-27,8.8,8,,,8.395,0.01,0.073,581,12.44,25.6,
2005-10-26,9.89,12,,,8.53,0.01,0.035,612,12.2,12,
2005-11-29,11.17,12,,,8.455,0.01,0.039,531.5,3.25,17.2,
2006-01-25,11.74,18,,,8.235,0.02,0.027,471.9,0.36,38.8,
2006-03-29,10.12,65,,,8.36,0.048,0.25,275.3,8.53,255,
2006-04-25,10,60,,,8.57,0.01,0.032,245.9,9.92,30,
2006-05-31,8.84,25,,,8.495,0.023,0.038,343,16.52,27.2,
2006-06-28,7.64,6,,,8.335,0.043,0.027,536.6,22.44,20,
2006-07-27,8.39,3,,,8.335,0.07,0.091,560.2,24.77,7.2,
2006-09-12,8.86,6.5,,,8.365,0.07,0.1014,588,18.8,16.4,
2006-10-11,9.89,12,,,8.455,0.026,0.036,592.8,11.94,10,
2006-11-30,12.91,8,,,8.335,0.021,0.078,567,0,60.4,
2007-01-10,11.41,8,,,8.405,0.01,0.05,508.6,1.99,2,
2007-03-20,10.24,24,,,8.415,0.01,0.037,448.8,10.06,72,
2007-04-25,10.09,12,,,8.59,0.03,0.034,506.1,16.83,8,
2007-05-30,9.92,6,,,8.56,0.029,0.051,518.9,18.88,39.2,
2007-06-28,11.73,10,,,8.615,0.042,0.044,483.2,21.37,5.2,
2007-07-26,10.17,5,,,8.54,0.058,0.074,546,22.86,8.8,
2007-08-28,8.54,4,,,8.465,0.036,0.067,515.7,23.26,33.2,
2007-09-25,10.61,5,,,8.555,0.022,0.041,596,14.06,9.6,
2007-10-23,11.76,5,,,8.505,0.01,0.0261,611.9,9.79,23.6,
2007-11-28,12.9,5,,,8.545,0.01,0.028,525.4,1.34,27.6,
2008-03-25,9.85,19,,,8.345,0.01,0.03,565.4,9.36,32,
2008-04-29,8.95,35,,,7.68,0.023,0.08,245.9,10.67,152,
2008-05-28,9.34,65,,,8.47,0.01,0.035,248.7,12.2,27.2,
2008-06-26,8.82,16,,,8.605,0.027,0.038,504.2,18.45,15.6,
2008-07-29,9.63,6,,,8.68,0.034,0.038,592.9,21.51,4.4,
2008-08-27,10.42,4,,,8.77,0.01,0.024,578.7,18.59,5.2,
2008-09-25,10.37,5,,,8.575,0.02,0.02,565.1,12.34,2,
2009-03-03,10.64,50,,,8.09,0.031,0.141,551.9,5.9,370,
2009-04-07,11.09,28,,,8.34,0.01,0.022,485.8,8.81,25.6,
2009-05-27,9.93,50,,,8.48,0.05,0.041,215.9,13.89,22.4,
2009-06-30,8.61,15,,,8.25,0.045,0.054,570.4,19.13,16.4,
2009-07-28,9.08,12,,,8.37,0.042,0.059,583.6,21.46,11.6,
2009-08-25,9.59,8,,,8.33,0.052,0.065,579.6,18.23,9.2,
2009-09-29,10.98,4,,,8.43,0.043,0.041,636,14.55,7.2,
2009-10-26,12.29,6.38,,,8.14,0.045,0.045,541,6.47,8.4,
2009-11-18,9.94,9,,,7.57,0.042,0.049,0,6.8,17.2,
2009-12-14,9.96,,,,8.15,0.057,0.01,420,4.16,54,
2010-01-25,12.11,,,,7.85,0.048,0.063,526,1.35,72.8,
2010-02-18,11.95,9.5,,,8.05,0.054,0.051,528,4.59,28.4,
2010-03-16,11.1,14.9,,,8.16,0.046,0.052,581,4.36,29.6,
2010-04-12,,,,,8.12,0.045,0.0467,444,7.53,15.6,
2010-05-13,11.14,,,,8.05,0.052,0.059,378.6,6.22,14,
2010-05-25,10.32,,,,8.19,0.049,0.053,361.9,7.12,11.6,
2010-06-28,11.26,,,,8.17,0.046,0.047,510,15.57,6.8,
2010-07-19,10.55,,,,8.3,0.044,0.048,504.4,17.27,2,
2010-08-25,9.48,2.5,,,7.85,0.049,0.0417,493.6,15.04,7.6,
2010-09-20,10.51,1.09,,,8.03,0.054,0.046,586.5,15.35,11.6,
2010-10-06,9.18,6,,,8.21,0.05,0.051,631.5,14.03,42,
2011-01-26,12.18,12,,,8.22,0.01,0.046,595,0.98,8.8,
2011-04-12,10.23,20,,,8.31,0.01,0.044,402.4,9.45,14.8,
2011-05-11,9.33,60,,,7.83,0.045,0.081,235.1,9.77,125.6,
2011-06-14,9.46,200,,,7.96,0.01,0.047,185.8,11.13,25.6,
2011-07-12,8.66,20,,,8.1,0.044,0.049,579.4,18.47,10,
2011-08-09,9.03,12,,,8.16,0.049,0.044,663.4,18.7,13.2,
2011-09-07,11.01,8,,,8.25,0.018,0.031,596.1,15.43,6,
2011-10-25,9.29,12.57,,,8.15,0.0214,0.0192,506,8.93,14,
2011-11-14,9.88,12.5,,,8.41,0.031,0.028,545.5,8.11,15.6,
2011-12-05,11.7,15.3,,,8.5,0.042,0.034,512.6,3.51,25.2,
2012-01-17,11,20.6,,,8.23,0.031,0.065,542,1.28,2,
2012-02-13,10.91,17.18,,,7.77,0.023,0.038,471.7,5.59,18.8,
2012-03-19,22.1,14.61,,,7.54,0.04,0.05,533,7.25,28,
2012-04-09,10.96,17.3,,,8.2,0.029,0.035,443,10.07,11.6,
2012-05-16,8.06,6.4,,,7.26,0.026,0.031,484.5,12.46,7.2,
2012-06-19,8.86,6.9,,,7.76,0.031,0.038,459.4,14.66,6.8,
2012-07-24,8.45,3.8,,,7.42,0.04,0.037,508,15.4,5.2,
2012-08-30,6.5,2,,,7.4,0.032,0.035,509.9,15.07,4,
2012-09-18,14.87,4,,,8.07,0.025,0.02,446.6,15.25,2,
2012-12-05,11.58,,,,8.34,0.03,0.06,635.7,6.39,20,16.2
2013-01-22,12.89,,,,7.97,0.02,0.05,642,0.02,26,5.2
2013-04-16,10.93,,,,8.34,0.02,0.05,532.4,5.67,23,8.1
2013-05-30,10.45,,,,8.52,0.04,0.05,616.2,16.83,10,1.5
2013-07-25,10.15,4,,,8.54,0.04,0.07,571.3,21.59,18,9.4
2013-09-17,8.45,8,,,8.16,0.04,0.08,672.5,18.97,20,17.4
2013-10-29,10.51,5,,,8.27,0.03,0.07,761.1,7.74,21,47.3
2014-02-19,11.14,8,,,8.01,0.05,0.07,560.1,3.32,13,4
2014-03-25,11.49,10,,,8.34,0.02,0.04,562.2,7.54,16,3.4
2014-04-29,10.25,25,,,8.29,0.03,0.0567,547.5,11.63,40,7
2014-05-28,8.81,10,,,8.51,0.04,0.08,508.4,20.96,34,9.2
2014-10-28,,3.715,,,,,,,,,
